Distribution Data
Symbol,Country,State,State FIP,County,County FIP
SOTU,United States,Alabama,01,,
SOTU,Canada,Manitoba,03,,
SOTU,Canada,New Brunswick,04,,
SOTU,United States,Arkansas,05,,
SOTU,United States,California,06,,
SOTU,United States,California,06,Napa,055
SOTU,United States,California,06,San Francisco,075
SOTU,Canada,Nova Scotia,07,,
SOTU,Canada,Ontario,08,,
SOTU,Canada,Prince Edward Island,09,,
SOTU,United States,Connecticut,09,,
SOTU,United States,Connecticut,09,Fairfield,001
SOTU,United States,Florida,12,,
SOTU,United States,Florida,12,Alachua,001
SOTU,United States,Hawaii,15,,
SOTU,United States,Hawaii,15,Maui,009
SOTU,United States,Illinois,17,,
SOTU,United States,Illinois,17,Hancock,067
SOTU,United States,Illinois,17,Kane,089
SOTU,United States,Louisiana,22,,
SOTU,United States,Louisiana,22,Bienville,013
SOTU,United States,Louisiana,22,East Baton Rouge,033
SOTU,United States,Louisiana,22,Lincoln,061
SOTU,United States,Louisiana,22,Ouachita,073
SOTU,United States,Louisiana,22,Richland,083
SOTU,United States,Louisiana,22,St. Helena,091
SOTU,United States,Louisiana,22,Union,111
SOTU,United States,Maine,23,,
SOTU,United States,Maryland,24,,
SOTU,United States,Massachusetts,25,,
SOTU,United States,Massachusetts,25,Berkshire,003
SOTU,United States,Massachusetts,25,Essex,009
SOTU,United States,Massachusetts,25,Hampden,013
SOTU,United States,Massachusetts,25,Middlesex,017
SOTU,United States,Massachusetts,25,Norfolk,021
SOTU,United States,Michigan,26,,
SOTU,United States,Michigan,26,Baraga,013
SOTU,United States,Michigan,26,Berrien,021
SOTU,United States,Michigan,26,Cheboygan,031
SOTU,United States,Michigan,26,Kalamazoo,077
SOTU,United States,Michigan,26,Leelanau,089
SOTU,United States,Michigan,26,St. Clair,147
SOTU,United States,Michigan,26,Wayne,163
SOTU,United States,Minnesota,27,,
SOTU,United States,Minnesota,27,Dakota,037
SOTU,United States,Minnesota,27,McLeod,085
SOTU,United States,Minnesota,27,St. Louis,137
SOTU,United States,Mississippi,28,,
SOTU,United States,Missouri,29,,
SOTU,United States,Missouri,29,St. Louis,189
SOTU,United States,New Hampshire,33,,
SOTU,United States,New Hampshire,33,Coos,007
SOTU,United States,New York,36,,
SOTU,United States,New York,36,Kings,047
SOTU,United States,New York,36,New York,061
SOTU,United States,New York,36,Suffolk,103
SOTU,United States,North Carolina,37,,
SOTU,United States,North Carolina,37,Lee,105
SOTU,United States,North Carolina,37,Washington,187
SOTU,United States,Ohio,39,,
SOTU,United States,Ohio,39,Ashtabula,007
SOTU,United States,Ohio,39,Auglaize,011
SOTU,United States,Ohio,39,Erie,043
SOTU,United States,Ohio,39,Franklin,049
SOTU,United States,Ohio,39,Hocking,073
SOTU,United States,Ohio,39,Lucas,095
SOTU,United States,Ohio,39,Meigs,105
SOTU,United States,Ohio,39,Monroe,111
SOTU,United States,Ohio,39,Ottawa,123
SOTU,United States,Ohio,39,Tuscarawas,157
SOTU,United States,Pennsylvania,42,,
SOTU,United States,Pennsylvania,42,Allegheny,003
SOTU,United States,Pennsylvania,42,Berks,011
SOTU,United States,Pennsylvania,42,Bucks,017
SOTU,United States,Pennsylvania,42,Chester,029
SOTU,United States,Pennsylvania,42,Franklin,055
SOTU,United States,Pennsylvania,42,Lehigh,077
SOTU,United States,Pennsylvania,42,Montgomery,091
SOTU,United States,Pennsylvania,42,Northampton,095
SOTU,United States,Pennsylvania,42,Philadelphia,101
SOTU,United States,Rhode Island,44,,
SOTU,United States,Rhode Island,44,Providence,007
SOTU,United States,South Carolina,45,,
SOTU,United States,Utah,49,,
SOTU,United States,Vermont,50,,
SOTU,United States,Vermont,50,Windsor,027
SOTU,United States,Virginia,51,,
SOTU,United States,Washington,53,,
SOTU,United States,Washington,53,King,033
SOTU,United States,Puerto Rico,72,,
SOTU,Canada,Newfoundland,NF,,
