"Native rosella, White wild musk mallow, ","Abelmoschus ficulneus","Malvaceae","Leaves","","-","-","-","-","-","-","-"
"","","","Fruit","","-","-","-","-","-","-","-"
"","","","Root","","-","-","-","-","-","-","-"
"Aibika, Edible Hibiscus, ","Abelmoschus manihot","Malvaceae","Leaves","88","120","29","3.4","1.0","7.0","1.5","1.2"
"","","","Flower buds","","-","-","-","-","-","-","-"
"Musk mallow, Bush carrot, ","Abelmoschus moschatus","Malvaceae","Seeds","11.4","-","-","2.3","-","-","-","-"
"","","","Leaves","82","226","54","4.1","-","-","-","-"
"","","","Roots","","-","-","-","-","-","-","-"
"","","","Pods","","-","-","-","-","-","-","-"
"Climbing hibiscus, Musk mallow, ","Abelmoschus moschatus subsp. tuberosus","Malvaceae",,,"-","-","-","-","-","-","-"
"Momi fir, Japanese fir, ","Abies firma","Pinaceae","Seeds","","-","-","-","-","-","-","-"
"Giant fir, Grand fir, Lowland fir, ","Abies grandis","Pinaceae","Bark","","-","-","-","-","-","-","-"
"","","","Leaves - tea","","-","-","-","-","-","-","-"
"Cranberry gourd, ","Abobra tenuifolia","Cucurbitaceae","Fruit","","-","-","-","-","-","-","-"
"Perennial Indian hemp, Maria herrania, ","Abroma augusta","Malvaceae",,,"-","-","-","-","-","-","-"
"Snowball sand verbena, Sweet sand-verbena, ","Abronia fragrans","Nyctaginaceae","Root","","-","-","-","-","-","-","-"
"Coastal Sand Verbena, Yellow Sand-verbena, ","Abronia latifolia","Nyctaginaceae","Root","","-","-","-","-","-","-","-"
"Bird's eye, Indian liquorice, ","Abrus precatorius","Fabaceae","Seeds boiled","","-","-","-","-","-","-","-"
"","","","Root","","-","-","-","-","-","-","-"
"","","","Leaves - tea","","-","-","-","-","-","-","-"
"","","","Leaves","79","259","62","5.6","-","-","-","-"
"Videira Silvestre, ","Abuta platyphylla","Menispermaceae",,,"-","-","-","-","-","-","-"
"","Abutilon mauritianum var. cabrae","Malvaceae",,,"-","-","-","-","-","-","-"
"Brazilian mallow, ","Bakeridesia esculenta","Malvaceae",,,"-","-","-","-","-","-","-"
"Plains Lanternflower, ","Abutilon indicum","Malvaceae","Seed flour","5.9","-","-","22.4","-","-","-","-"
"","","","Leaves","","-","-","-","126","-","-","-"
"","","","Flowers","","-","-","-","-","-","-","-"
"","","","Seed - oil","","-","-","-","-","-","-","-"
"Desert lantern, Lantern Bush, ","Abutilon leucopetalum","Malvaceae","Root","","-","-","-","-","-","-","-"
"Lantern flower, Desert Lantern, Desert Chinese Lantern, ","Abutilon otocarpum","Malvaceae","Seed","","-","-","-","-","-","-","-"
"China jute, ","Abutilon theophrasti","Malvaceae","Seeds","","-","-","17.4","-","-","-","-"
"","Acacia acradenia","Fabaceae","Seed				","3.3","1687","404","23.2","-","-","7.5","1.1"
"","","","Gum","","-","-","-","-","-","-","-"
"Raspberry jam wattle, ","Acacia acuminata","Fabaceae","Gum","","-","-","-","-","-","-","-"
"","","","Seed","","-","-","-","-","-","-","-"
"","Acacia adoxa","Fabaceae","Grub","","-","-","-","-","-","-","-"
"Mulga, ","Acacia adsurgens","Fabaceae","Seed				","4.6","1513","362","24.5","-","-","16.2","7.4"
"White-thorn, Apple ring acacia, ","Faidherbia albida","Fabaceae","Seeds (detoxify)","6.5","1437","344","24.8","-","-","6.8","2.6"
"","","","Leaves","","-","-","-","-","-","-","-"
"","","","Pods - young","","-","-","-","-","-","-","-"
"Mount Conner wattle","Acacia ammobia","Fabaceae","Seed","","-","-","-","-","-","-","-"
"Salt wattle, ","Acacia ampliceps","Fabaceae","Seed","","-","-","-","-","-","-","-"
"Duck bill wattle, ","Acacia anaticeps","Fabaceae",,,"-","-","-","-","-","-","-"
"Fish hook wattle, Fitzroy wattle, ","Acacia ancistrocarpa","Fabaceae","Seed - young","","-","-","-","-","-","-","-"
"","","","Seed - dry","","-","-","-","-","-","-","-"
"Mulga, Yarran, ","Acacia aneura","Fabaceae","Seed	","5.2","1593","381","25.4","-","-","14.1","2.9"
"","","","Flowers","","-","-","-","-","-","-","-"
"","","","Gum","","-","-","-","-","-","-","-"
"Flame acacia, Flame thorn, ","Senegalia ataxacantha","Fabaceae",,,"-","-","-","-","-","-","-"
"Black wattle, Ear Pod Wattle, ","Acacia auriculiformis","Fabaceae","Seeds - oil","","-","-","-","-","-","-","-"
"","","","Gum","","-","-","-","-","-","-","-"
"Bead wattle, ","Acacia beauverdiana","Fabaceae","Seeds","","-","-","-","-","-","-","-"
"Corkwood wattle, ","Acacia bidwillii","Fabaceae","Root","","-","-","-","-","-","-","-"
"Dune wattle, Umbrella wattle, Small cooba, ","Acacia bivenosa","Fabaceae",,,"-","-","-","-","-","-","-"
"Umbrella mulga, Turpentine Mulga, ","Acacia brachystachya","Fabaceae","Seed","","-","-","-","-","-","-","-"
"Northern Myall, Shrubby mulga, ","Acacia calcicola","Fabaceae",,,"-","-","-","-","-","-","-"
"","Acacia valida","Fabaceae",,,"-","-","-","-","-","-","-"
"Gidgee, Stinking Wattle, ","Acacia cambagei","Fabaceae","Gum","","-","-","-","-","-","-","-"
"River jam, ","Acacia citrinoviridis","Fabaceae","Seed","","-","-","-","-","-","-","-"
"Boat-spine acacia, ","Acacia cochliacantha","Fabaceae","Seed","","-","-","-","-","-","-","-"
"Candelabra Wattle, Soap wattle, ","Acacia colei","Fabaceae","Seeds - dry","8.3","-","-","21.2","-","-","-","-"
"","","","Seeds - young","","-","-","-","-","-","-","-"
"Flat-stemmed wattle, ","Acacia complanata","Fabaceae","Seed","","-","-","-","-","-","-","-"
"Soap-Pod, ","Acacia concinna","Fabaceae","Seed","","-","-","-","-","-","-","-"
"","","","Leaves","","-","-","-","-","-","-","-"
"","","","Flower","","-","-","-","-","-","-","-"
"","","","Pods","","-","-","-","-","-","-","-"
"Black wattle, ","Acacia concurrens","Fabaceae","Seed				","3.9","1935","463","23.3","-","-","-","-"
"","","","Roots","","-","-","-","-","-","-","-"
"Witchety bush, Cork bark wattle, ","Acacia coriacea","Fabaceae","Seed dry	","8.4","1507","361","23.1","-","-","7.7","5.8"
"","","","Seed green","56.8","627","150","23.7","-","-","3.2 ","1.0"
"","","","Flowers","","-","-","-","-","-","-","-"
"","","","Seeds dry","4.1","-","-","20.9","-","-","7.7","5.8"
"Hall’s Creek wattle, ","Acacia cowleana","Fabaceae","Seed","5.6","1246","298","23.8","-","-","6.2","4.5"
"Hop mulga, Broad-leaved Mulga, ","Acacia craspedocarpa","Fabaceae","Seed","","-","-","-","-","-","-","-"
"Lancewood, Hickory Wattle, Thick-podded salwood, ","Acacia crassicarpa","Fabaceae","Root","","-","-","-","-","-","-","-"
