Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"DRSI5",,"×Dryostichum singulare W.H. Wagner",dryostichum
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ELHI4",,"×Elyleymus hirtiflorus (Hitchc.) Barkworth [Elymus trachycaulus × Leymus innovatus]",Canadian wildrye
"ABBA",,"Abies balsamea (L.) Mill.",balsam fir
"ABBAB",,"Abies balsamea (L.) Mill. var. balsamea ",balsam fir
"ABBAP",,"Abies balsamea (L.) Mill. var. phanerolepis Fernald",balsam fir
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACHI",,"Acanthospermum hispidum DC.",hispid starbur
"ACFR",,"Acer ×freemanii A.E. Murray [rubrum × saccharinum]",Freeman maple
"ACCA5",,"Acer campestre L.",hedge maple
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACJA2",,"Acer japonicum Thurb.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACPA2",,"Acer palmatum Thunb.",Japanese maple
"ACPE",,"Acer pensylvanicum L.",striped maple
"ACPL",,"Acer platanoides L.",Norway maple
"ACPS",,"Acer pseudoplatanus L.",sycamore maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACRUT",,"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACAL17",,"Achillea alpina L.",Chinese yarrow
"ACFI",,"Achillea filipendulina Lam.",fernleaf yarrow
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIB",,"Achillea millefolium L. var. borealis (Bong.) Farw.",boreal yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIN",,"Achillea millefolium L. var. nigrescens E. Mey.",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACAR2",,"Acinos arvensis (Lam.) Dandy",basil thyme
"ACBI4",,"Aconitum ×bicolor Schult. (pro sp.) [napellus × variegatum]",twocolor monkshood
"ACNA",,"Aconitum napellus L.",Venus' chariot
"ACVA",,"Aconitum variegatum L.",Manchurian monkshood
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACLU",,"Actaea ×ludovici B. Boivin [pachypoda × rubra]",baneberry
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRA7",,"Actaea racemosa L.",black baneberry
"ACRAR",,"Actaea racemosa L. var. racemosa ",black bugbane
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADBI",,"Adenocaulon bicolor Hook.",American trailplant
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADFU",,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
"ADAN",,"Adonis annua L.",blooddrops
"ADMO",,"Adoxa moschatellina L.",muskroot
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
