# Title: December 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,49.3,2.1,87,47.2
AL-003,Baldwin County,Alabama,54.3,2,88,52.3
AL-005,Barbour County,Alabama,49.4,0.6,71,48.8
AL-007,Bibb County,Alabama,47.7,2.1,86,45.6
AL-009,Blount County,Alabama,45.6,2.5,90,43.1
AL-011,Bullock County,Alabama,49.4,1.5,80,47.9
AL-013,Butler County,Alabama,50.8,2.2,91,48.6
AL-015,Calhoun County,Alabama,46.4,2.8,92,43.6
AL-017,Chambers County,Alabama,47.6,3,97,44.6
AL-019,Cherokee County,Alabama,44.6,1.9,83,42.7
AL-021,Chilton County,Alabama,48.1,2.3,89,45.8
AL-023,Choctaw County,Alabama,50.5,2.1,90,48.4
AL-025,Clarke County,Alabama,50.8,1.8,87,49
AL-027,Clay County,Alabama,46.6,2.7,92,43.9
AL-029,Cleburne County,Alabama,45.6,2.9,92,42.7
AL-031,Coffee County,Alabama,50,0.2,69,49.8
AL-033,Colbert County,Alabama,45.5,3.6,106,41.9
AL-035,Conecuh County,Alabama,51.5,1.6,83,49.9
AL-037,Coosa County,Alabama,47.7,2.2,90,45.5
AL-039,Covington County,Alabama,51.1,1.1,79,50
AL-041,Crenshaw County,Alabama,50.1,1.7,82,48.4
AL-043,Cullman County,Alabama,45.3,2.6,91,42.7
AL-045,Dale County,Alabama,50,-0.2,65,50.2
AL-047,Dallas County,Alabama,49.5,1.6,82,47.9
AL-049,DeKalb County,Alabama,43.3,1.7,82,41.6
AL-051,Elmore County,Alabama,49.2,2.1,89,47.1
AL-053,Escambia County,Alabama,52.1,1.3,82,50.8
AL-055,Etowah County,Alabama,45.6,2.3,87,43.3
AL-057,Fayette County,Alabama,46.6,2.2,89,44.4
AL-059,Franklin County,Alabama,45.4,3.3,99,42.1
AL-061,Geneva County,Alabama,50.5,-0.2,66,50.7
AL-063,Greene County,Alabama,48.3,1.7,85,46.6
AL-065,Hale County,Alabama,48.4,1.7,84,46.7
AL-067,Henry County,Alabama,50.3,0.3,67,50
AL-069,Houston County,Alabama,51.3,0.2,68,51.1
AL-071,Jackson County,Alabama,43.5,2,86,41.5
AL-073,Jefferson County,Alabama,46.7,2.2,87,44.5
AL-075,Lamar County,Alabama,47.4,3,95,44.4
AL-077,Lauderdale County,Alabama,45.1,3.7,105,41.4
AL-079,Lawrence County,Alabama,45.1,2.8,94,42.3
AL-081,Lee County,Alabama,49.1,2.6,93,46.5
AL-083,Limestone County,Alabama,44.6,2.8,94,41.8
AL-085,Lowndes County,Alabama,50.2,2,86,48.2
AL-087,Macon County,Alabama,49.6,2,86,47.6
AL-089,Madison County,Alabama,44.8,2.7,94,42.1
AL-091,Marengo County,Alabama,49.3,1.5,83,47.8
